epoch,train_loss,val_loss,lr
1,0.9393819670325944,1.6077266670763493,0.001
2,0.8823618927438345,1.5592517867684363,0.0009990143508499217
3,0.919378070825977,0.7968794018030166,0.0009960612933065818
4,0.7782651369592973,0.8283567219972611,0.00099115248173898
5,0.7654963991205607,0.8911726616322995,0.0009843072889837512
6,0.7300386797370655,0.7674458913505078,0.0009755527298894294
7,0.7924267004377076,1.0060456000268458,0.0009649233547011816
8,0.7861489065523658,0.8290870182216168,0.0009524611127067769
9,0.7718112251854369,0.7767325483262539,0.0009382151866819099
10,0.7754401597194374,1.6056414917111397,0.0009222417987882566
11,0.858743093641741,0.8084062807261944,0.0009046039886902864
12,0.7816835804842412,1.6344837740063667,0.0008853713647665069
13,0.742610123607197,1.0128879077732562,0.0008646198293969952
14,0.7064241876027414,0.8751278847455979,0.0008424312794113801
15,0.7392445924425763,2.652553401887417,0.0008188932828794706
16,0.9275016169329839,0.7676733188331127,0.0007940987335200906
17,0.8063428018774305,1.543406105786562,0.0007681454840920089
18,0.7799483758530447,0.90955665782094,0.0007411359602138069
